AGS,Ort,2017_AfD_%,2017_CDU_%,2017_LINKE_%,2017_SPD_%,2017_FDP_%,2017_GRÜNE_%,2017_andere_%
14522090,Dorfchemnitz,47.4,28.1,5.1,6.1,5.9,2.1,5.3
14522110,Eppendorf,30.4,34.2,10.6,8.4,8.6,1.8,5.9
14522140,"Flöha, Stadt",28.4,28.4,18.4,9.7,6.6,2.7,5.8
14522150,"Frankenberg/Sa., Stadt",30.5,27.6,14.5,10.2,7.9,2.3,7.0
14522170,"Frauenstein, Stadt",37.9,28.9,11.8,7.0,7.1,2.4,4.9
14522180,"Freiberg, Stadt, Universitätsstadt",30.1,23.3,15.9,11.1,8.6,4.2,6.7
14522200,Großhartmannsdorf,34.6,34.1,10.5,7.4,8.0,1.0,4.5
14522210,"Großschirma, Stadt",40.2,26.1,10.0,8.2,7.9,3.0,4.7
14522220,Großweitzschen,30.7,32.4,12.1,8.9,8.3,2.9,4.6
14522230,"Hainichen, Stadt",31.9,28.1,15.1,10.0,7.1,1.8,6.0
14522240,Halsbrücke,39.1,25.6,11.6,7.3,7.0,3.0,6.3
14522250,"Hartha, Stadt",26.9,31.1,15.3,11.0,6.7,2.3,6.7
14522300,Kriebstein,30.5,27.1,15.8,9.9,8.2,1.2,7.3
14522310,"Leisnig, Stadt",26.8,29.0,16.6,12.1,7.4,2.6,5.5
14522320,Leubsdorf,28.9,36.6,11.9,8.4,6.5,2.6,5.1
14522340,Lichtenberg/Erzgeb.,38.5,27.5,11.0,7.3,8.1,2.1,5.4
14522360,"Mittweida, Stadt, Hochschulstadt",26.1,27.5,17.6,10.1,8.5,3.5,6.8
14522390,Mulda/Sa.,37.6,30.5,9.7,6.9,8.8,1.5,5.1
14522400,Neuhausen/Erzgeb.,35.7,28.4,10.9,9.3,7.6,2.3,5.8
14522420,Niederwiesa,27.6,28.9,15.2,9.8,8.8,4.7,4.9
14522430,Oberschöna,35.9,25.5,11.7,8.3,9.0,3.6,5.9
14522440,"Oederan, Stadt",32.8,29.0,13.5,8.3,7.7,2.2,6.3
14522450,Ostrau,31.3,28.7,15.3,9.5,7.2,2.1,6.1
14522470,Rechenberg-Bienenmühle,41.1,28.3,8.3,5.3,10.4,1.8,4.8
14522480,Reinsberg,36.9,26.4,11.4,9.0,7.8,3.4,5.1
14522500,Rossau,32.2,28.0,13.2,9.0,8.0,2.7,6.8
14522510,"Roßwein, Stadt",27.9,29.6,14.9,10.4,8.0,2.6,6.8
14522520,"Sayda, Stadt",32.3,31.3,11.2,9.2,8.6,2.7,4.8
14522540,Striegistal,36.5,28.8,11.9,7.3,6.4,1.9,7.2
14522570,"Waldheim, Stadt",26.7,26.6,16.3,11.3,9.9,2.1,7.2
14522590,Weißenborn/Erzgeb.,38.8,23.2,11.9,8.6,9.1,1.9,6.5
14522620,Zschaitz-Ottewig,31.0,30.2,10.5,9.6,8.7,2.1,7.8
14511000,"Chemnitz, Stadt",24.3,24.9,19.2,11.9,8.4,4.7,6.7
14521040,Auerbach,29.4,30.3,13.8,11.1,6.3,1.5,7.6
14521120,Burkhardtsdorf,29.4,32.0,13.4,9.2,7.5,3.0,5.5
14521230,Gornsdorf,27.4,29.0,16.2,11.0,8.4,3.0,5.0
14521290,Hohndorf,26.7,33.3,14.4,10.3,7.0,2.9,5.4
14521310,Jahnsdorf/Erzgeb.,29.7,30.1,14.1,7.8,9.2,2.4,6.7
14521380,"Lugau/Erzgeb., Stadt",25.9,29.7,19.2,10.4,5.6,2.2,7.0
14521410,Neukirchen/Erzgeb.,28.9,31.0,13.6,9.2,8.8,2.7,5.7
14521420,Niederdorf,35.6,28.4,12.1,7.2,6.2,2.3,8.2
14521430,Niederwürschnitz,26.4,31.5,15.0,12.9,5.5,2.4,6.2
14521450,"Oelsnitz/Erzgeb., Stadt",27.2,29.5,16.8,11.1,6.0,2.6,6.7
14521590,"Stollberg/Erzgeb., Stadt",26.5,31.3,15.8,10.4,6.9,2.5,6.6
14521620,"Thalheim/Erzgeb., Stadt",26.2,30.6,14.6,10.5,7.5,3.2,7.4
14521710,"Zwönitz, Stadt",28.6,32.7,14.0,9.3,6.6,2.4,6.4
14522060,"Burgstädt, Stadt",26.2,30.0,15.3,11.0,7.9,3.1,6.6
14522070,Claußnitz,25.4,32.4,11.4,13.6,8.7,2.3,6.2
14522120,Erlau,28.1,29.8,14.5,10.6,8.0,2.6,6.4
14522190,"Geringswalde, Stadt",23.7,29.5,17.4,13.2,7.1,2.2,6.8
14522260,Hartmannsdorf,27.6,32.6,13.2,10.7,8.5,2.8,4.7
14522280,Königsfeld,29.9,30.5,13.0,8.1,8.6,3.0,6.9
14522290,Königshain-Wiederau,28.9,32.6,12.0,9.6,7.4,3.3,6.2
14522330,Lichtenau,28.8,29.3,14.0,10.2,9.0,3.0,5.7
14522350,"Lunzenau, Stadt",31.0,30.6,12.1,11.2,6.3,2.0,6.8
14522380,Mühlau,27.7,31.7,13.0,11.3,8.8,2.6,4.9
14522460,"Penig, Stadt",27.0,30.5,16.3,11.0,7.0,3.0,5.2
14522490,"Rochlitz, Stadt",24.5,28.3,19.5,11.4,7.8,2.4,6.1
14522530,Seelitz,27.9,31.4,14.9,9.1,7.5,1.6,7.5
14522550,Taura,28.6,31.2,14.0,9.7,7.3,2.8,6.3
14522580,Wechselburg,27.4,30.8,13.1,12.1,7.2,3.0,6.3
14522600,Zettlitz,27.2,29.2,15.5,10.2,6.9,2.8,8.4
14524010,Bernsdorf,25.5,31.1,13.8,9.8,11.1,2.4,6.2
14524020,Callenberg,26.5,32.7,13.7,10.9,7.5,3.4,5.5
14524070,Gersdorf,27.3,28.4,15.5,11.7,8.5,2.5,6.0
14524120,"Hohenstein-Ernstthal, Stadt",24.6,29.1,18.3,11.3,7.9,3.1,5.7
14524160,"Lichtenstein/Sa., Stadt",24.8,29.6,16.8,12.1,7.4,3.5,5.8
14524180,"Limbach-Oberfrohna, Stadt",24.9,30.6,14.6,10.7,8.7,3.2,7.3
14524220,Niederfrohna,25.0,33.2,12.6,10.6,8.1,2.6,7.9
14524230,"Oberlungwitz, Stadt",25.9,31.0,15.9,9.1,9.9,3.2,4.9
14524280,St. Egidien,28.2,32.2,15.8,8.0,7.9,2.8,5.1
14521010,Amtsberg,26.1,32.6,12.7,10.1,8.9,3.3,6.3
14521020,"Annaberg-Buchholz, Stadt",29.2,27.6,16.2,9.5,6.5,2.8,8.2
14521060,Bärenstein,28.9,32.5,13.4,10.2,6.2,2.0,6.8
14521080,Bockau,33.5,35.9,11.9,7.3,4.5,1.4,5.5
14521090,Börnichen/Erzgeb.,29.6,31.5,12.1,10.2,7.7,2.3,6.6
14521110,Breitenbrunn/Erzgeb.,30.9,31.2,12.9,9.1,7.2,2.1,6.7
14521130,Crottendorf,26.5,35.3,13.3,7.6,8.4,2.6,6.4
14521140,Deutschneudorf,39.3,27.5,8.0,6.8,12.7,1.6,4.1
14521150,Drebach,28.0,34.6,11.5,9.2,8.1,1.8,6.7
14521160,"Ehrenfriedersdorf, Stadt",29.1,30.5,13.3,10.1,8.2,1.6,7.1
