Alle Wahllokale mit Wahlgebäuden (Landtagswahl 2019),,,,,,
Gebiet,Wahlbezirk,Wahlkreis,Einrichtung,"PLZ, Ort",Straße,Barrierefreiheit
Schönfeld‐,46310,41,Hans und Sophie Scholl Haus,"01328, Dresden",Wachwitzer Höhenweg 10,Barrierefrei
Weißig ,,,,,,
Schönfeld‐,46410,41,Gasthof Cunnersdorf,"01328, Dresden",Gönnsdorfer Str. 17,Nicht barrierefrei
Weißig ,,,,,,
Schönfeld‐,47110,41,Grundschule Schönfeld,"01328, Dresden",Borsbergstr. 12 a,Barrierefrei
Weißig ,,,,,,
Schönfeld‐,47210,41,Alte Schule Schullwitz,"01328, Dresden",Bühlauer Str. 25,Barrierefrei
Weißig ,,,,,,
Schönfeld‐,47310,41,Kulturraum Zaschendorf,"01328, Dresden",Talblick 5,Barrierefrei
Weißig ,,,,,,
Blasewitz ,51100,44,"Kinderhaus ""Pats Colour Box""","01309, Dresden",Händelallee 23,Barrierefrei
Blasewitz ,51200,44,Vitanas Senioren Centrum,"01309, Dresden",Schillerplatz 12,Barrierefrei
Blasewitz ,51400,44,63. Grundschule/Turnhalle,"01309, Dresden",Wägnerstr. 24,Barrierefrei
Blasewitz ,51500,44,63. Grundschule/Turnhalle,"01309, Dresden",Wägnerstr. 24,Barrierefrei
Blasewitz ,51600,44,32. Grundschule,"01277, Dresden",Hofmannstr. 34,Nicht barrierefrei
Blasewitz ,51700,44,32. Grundschule,"01277, Dresden",Hofmannstr. 34,Nicht barrierefrei
Blasewitz ,52100,44,Evangelisches Kreuzgymnasium,"01277, Dresden",Dornblüthstr. 4,Barrierefrei
Blasewitz ,52200,44,25. Oberschule/Turnhalle,"01309, Dresden",Pohlandstr. 40,Barrierefrei
Gebiet,Wahlbezirk,Wahlkreis,Einrichtung,"PLZ, Ort",Straße,Barrierefreiheit
Blasewitz ,52300,44,Evangelisches Kreuzgymnasium,"01277, Dresden",Dornblüthstr. 4,Barrierefrei
Blasewitz ,52400,44,Evangelisches Kreuzgymnasium,"01277, Dresden",Dornblüthstr. 4,Barrierefrei
Blasewitz ,52501,44,25. Oberschule/Turnhalle,"01309, Dresden",Pohlandstr. 40,Barrierefrei
Blasewitz ,52502,44,Seniorenresidenz Pohlandplatz GmbH,"01277, Dresden",Schlüterstr. 45,Barrierefrei
Blasewitz ,52600,44,Evangelisches Kreuzgymnasium,"01277, Dresden",Dornblüthstr. 4,Barrierefrei
Blasewitz ,52701,44,Betreutes Wohnen e. V.,"01277, Dresden",Kipsdorfer Str. 93,Barrierefrei
Blasewitz ,52702,44,Hans‐Erlwein‐Gymnasium,"01277, Dresden",Eibenstocker Str. 30,Barrierefrei
Blasewitz ,53100,45,6. Grundschule,"01307, Dresden",Fetscherstr. 2,Barrierefrei
Blasewitz ,53200,45,Martin‐Andersen‐Nexö‐Gymnasium,"01309, Dresden",Haydnstr. 49,Barrierefrei
Blasewitz ,53300,45,Martin‐Andersen‐Nexö‐Gymnasium,"01309, Dresden",Haydnstr. 49,Barrierefrei
Blasewitz ,53400,45,6. Grundschule,"01307, Dresden",Fetscherstr. 2,Barrierefrei
Blasewitz ,53600,45,107. Oberschule,"01309, Dresden",Hepkestr. 26,Barrierefrei
Blasewitz ,53700,45,107. Oberschule,"01309, Dresden",Hepkestr. 26,Barrierefrei
Blasewitz ,53800,45,Seniorenresidenz Pohlandplatz GmbH,"01277, Dresden",Schlüterstr. 45,Barrierefrei
Blasewitz ,54100,44,Martin‐Andersen‐Nexö‐Gymnasium,"01309, Dresden",Haydnstr. 49,Barrierefrei
Blasewitz ,54200,44,Martin‐Andersen‐Nexö‐Gymnasium,"01309, Dresden",Haydnstr. 49,Barrierefrei
Blasewitz ,54300,44,Martin‐Andersen‐Nexö‐Gymnasium,"01309, Dresden",Haydnstr. 49,Barrierefrei
Blasewitz ,54400,44,51. Grundschule,"01309, Dresden",Rosa‐Menzer‐Str. 24,Nicht barrierefrei
Blasewitz ,54501,44,51. Grundschule,"01309, Dresden",Rosa‐Menzer‐Str. 24,Nicht barrierefrei
Blasewitz ,54502,44,51. Grundschule,"01309, Dresden",Rosa‐Menzer‐Str. 24,Nicht barrierefrei
Blasewitz ,54600,44,51. Grundschule,"01309, Dresden",Rosa‐Menzer‐Str. 24,Nicht barrierefrei
Blasewitz ,55101,44,Gymnasium Tolkewitz,"01279, Dresden",Wehlener Straße 38,Barrierefrei
Blasewitz ,55102,44,Gymnasium Tolkewitz,"01279, Dresden",Wehlener Straße 38,Barrierefrei
Blasewitz ,55200,44,Gymnasium Tolkewitz,"01279, Dresden",Wehlener Straße 38,Barrierefrei
Gebiet,Wahlbezirk,Wahlkreis,Einrichtung,"PLZ, Ort",Straße,Barrierefreiheit
