;WK-Nr;WK-Name;AGS;Wahlberechtigte;Wähler;gültige_1;CDU_1;DIE LINKE_1;SPD_1;FDP_1;GRÜNE_1;NPD_1;PIRATEN_1;BüSo_1;DSU_1;AfD_1;FREIE WÄHLER_1;Die PARTEI_1;Freie Bürger Leipzig_1;Konrad Skatula_1;Schaar_1;WAGNER_1;WV MFU_1;gültige_2;CDU_2;DIE LINKE_2;SPD_2;FDP_2;GRÜNE_2;NPD_2;Tierschutzpartei_2;PIRATEN_2;BüSo_2;DSU_2;AfD_2;pro Deutschland_2;FREIE WÄHLER_2;Die PARTEI_2
108;16;Erzgebirge 4;14521340;1825;1038;1005;743;114;41;17;16;41;6.0;;;;27.0;;;;;;;1008;583;135;61;17;23;53;7;3;1;3;97;2;21;2
109;16;Erzgebirge 4;14521400;2893;1685;1649;896;216;140;57;145;88;21.0;;;;86.0;;;;;;;1656;851;205;172;39;59;65;11;5;1;0;190;4;49;5
110;16;Erzgebirge 4;14521440;1920;1076;1060;462;266;103;104;32;39;12.0;;;;42.0;;;;;;;1063;463;237;97;101;26;28;9;5;1;0;80;1;12;3
111;16;Erzgebirge 4;14521510;1837;1083;1060;527;160;140;32;41;46;17.0;;;;97.0;;;;;;;1067;529;139;119;25;32;39;8;6;1;2;117;1;42;7
112;16;Erzgebirge 4;14521520;2045;923;891;383;186;99;38;45;65;9.0;;;;66.0;;;;;;;900;386;153;97;25;37;61;8;1;0;0;100;3;25;4
113;16;Erzgebirge 4;14521560;5593;3019;2962;1560;491;279;110;80;186;34.0;;;;222.0;;;;;;;2977;1549;424;281;85;59;147;13;13;3;8;272;4;104;15
114;16;Erzgebirge 4;14521610;938;555;538;231;109;42;21;26;47;9.0;;;;53.0;;;;;;;545;211;85;37;13;23;41;7;1;1;2;88;2;32;2
115;16;Erzgebirge 4;14521630;2820;1648;1595;823;265;127;62;56;121;32.0;;;;109.0;;;;;;;1610;805;209;109;52;45;89;13;10;0;0;220;3;48;7
116;16;Erzgebirge 4;14521640;4477;2484;2429;1262;410;216;119;65;175;40.0;;;;142.0;;;;;;;2442;1179;336;210;134;48;146;19;9;2;5;298;7;39;10
117;17;Erzgebirge 5;14521090;843;397;389;206;66;33;19;12;13;0.0;;;33.0;7.0;;;;;;;388;184;63;37;19;8;16;5;0;0;0;48;1;6;1
118;17;Erzgebirge 5;14521100;1104;527;509;274;73;54;18;15;25;1.0;;;45.0;4.0;;;;;;;515;230;85;56;29;13;36;6;2;0;0;49;0;2;7
119;17;Erzgebirge 5;14521140;884;429;405;158;52;27;45;6;25;3.0;;;83.0;6.0;;;;;;;406;149;44;31;57;4;27;1;2;0;0;86;1;3;1
120;17;Erzgebirge 5;14521150;4415;2456;2397;1265;354;234;107;78;91;9.0;;;229.0;30.0;;;;;;;2402;1221;336;235;100;74;108;22;10;4;0;253;5;30;4
121;17;Erzgebirge 5;14521220;3171;1823;1798;836;282;231;64;115;72;18.0;;;136.0;44.0;;;;;;;1800;848;271;195;74;70;74;13;16;3;20;174;2;31;9
122;17;Erzgebirge 5;14521240;2456;1483;1454;747;237;141;77;67;51;6.0;;;106.0;22.0;;;;;;;1457;728;220;173;52;39;62;16;21;2;2;123;1;15;3
123;17;Erzgebirge 5;14521250;2941;1816;1778;945;198;171;92;48;96;17.0;;;191.0;20.0;;;;;;;1786;913;204;186;86;34;112;15;8;1;2;188;5;23;9
124;17;Erzgebirge 5;14521270;1849;1190;1179;682;167;99;38;37;38;4.0;;;98.0;16.0;;;;;;;1179;586;160;123;62;34;47;19;5;0;4;118;1;9;11
125;17;Erzgebirge 5;14521280;676;284;278;116;44;22;21;10;12;4.0;;;45.0;4.0;;;;;;;278;113;45;21;23;7;14;5;0;0;0;43;0;6;1
126;17;Erzgebirge 5;14521390;14815;7629;7475;3422;1523;605;423;250;358;61.0;;;714.0;119.0;;;;;;;7504;3338;1458;702;365;205;401;77;46;6;8;773;11;100;14
127;17;Erzgebirge 5;14521460;7939;3849;3786;1679;688;418;273;111;182;50.0;;;338.0;47.0;;;;;;;3800;1609;697;439;239;103;195;48;41;5;6;372;3;38;5
128;17;Erzgebirge 5;14521470;2186;1109;1089;413;184;99;177;39;44;13.0;;;103.0;17.0;;;;;;;1088;407;174;109;153;44;52;16;7;0;2;102;2;18;2
129;17;Erzgebirge 5;14521495;6717;3336;3238;1528;574;256;217;97;166;20.0;;;334.0;46.0;;;;;;;3255;1530;567;287;161;85;180;23;11;1;3;344;10;40;13
130;17;Erzgebirge 5;14521570;1985;1176;1146;528;172;92;117;20;46;9.0;;;150.0;12.0;;;;;;;1153;516;164;119;104;22;44;10;3;3;1;156;1;9;1
131;17;Erzgebirge 5;14521670;3340;1750;1714;783;256;175;87;65;83;23.0;;;201.0;41.0;;;;;;;1719;776;260;195;70;65;91;8;13;1;2;201;4;27;6
132;17;Erzgebirge 5;14521690;8269;3847;3793;1598;900;387;133;181;181;27.0;;;319.0;67.0;;;;;;;3798;1538;841;412;139;148;219;35;26;1;4;374;4;39;18
133;18;Mittelsachsen 1;14522020;3979;2068;2037;988;439;247;83;99;132;49.0;;;;;;;;;;;2047;905;385;229;73;84;86;20;12;0;2;219;3;27;2
134;18;Mittelsachsen 1;14522050;8492;3850;3775;1627;1052;534;150;108;234;70.0;;;;;;;;;;;3810;1693;866;438;124;89;159;35;26;5;1;322;9;29;14
