;A
288;"40;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Plessing,;Dr.;Tobias"
289;"40;7;FDP;Freie;Demokratische;Partei;Wolf,;Alexander"
290;"40;8;FREIE;WÄHLER;FREIE;WÄHLER;Kroemer,;Bernhard"
291;"40;12;BüSo;Bürgerrechtsbewegung;Solidarität;Born,;Thomas"
292;"41;1;CDU;Christlich;Demokratische;Union;Deutschlands;Hartmann,;Christian"
293;"41;2;DIE;LINKE;DIE;LINKE;Buddeberg,;Sarah"
294;"41;3;SPD;Sozialdemokratische;Partei;Deutschlands;Chaimite,;Emiliano"
295;"41;4;AfD;Alternative;für;Deutschland;Wilke,;Karin"
296;"41;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Lippmann,;Valentin"
297;"41;7;FDP;Freie;Demokratische;Partei;Günther,;Torsten"
298;"41;11;Die;PARTEI;Partei;für;Arbeit,Hinze,;Sören"
299;"42;1;CDU;Christlich;Demokratische;Union;Deutschlands;Piwarz,;Christian"
300;"42;2;DIE;LINKE;DIE;LINKE;Fehst,;Franziska"
301;"42;3;SPD;Sozialdemokratische;Partei;Deutschlands;Sturm,;Kristin"
302;"42;4;AfD;Alternative;für;Deutschland;Wendt,;André"
303;"42;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Mühle,;Andrea"
304;"42;7;FDP;Freie;Demokratische;Partei;Mogwitz,;Andreas"
305;"43;1;CDU;Christlich;Demokratische;Union;Deutschlands;Flemming,;Ingo"
306;"43;2;DIE;LINKE;DIE;LINKE;Holowenko,;Anne"
307;"43;3;SPD;Sozialdemokratische;Partei;Deutschlands;Pallas,;Albrecht"
308;"43;4;AfD;Alternative;für;Deutschland;Ladzinski,;Thomas"
309;"43;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Mehn,;Henriette"
310;"43;7;FDP;Freie;Demokratische;Partei;Kunz,;Thomas"
311;"43;11;Die;PARTEI;Partei;für;Arbeit,;Hencker,;Philipp"
312;"44;1;CDU;Christlich;Demokratische;Union;Deutschlands;Modschiedler,;Martin"
313;"44;2;DIE;LINKE;DIE;LINKE;Wirtz,;Tilo"
314;"44;3;SPD;Sozialdemokratische;Partei;Deutschlands;Kreß,;Christian"
315;"44;4;AfD;Alternative;für;Deutschland;Jost,;Martina"
316;"44;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Herrmann,;Dr.;Dietrich"
317;"44;7;FDP;Freie;Demokratische;Partei;Görnitz,;Steve"
318;"44;12;BüSo;Bürgerrechtsbewegung;Solidarität;Frömmel,;Holger"
319;"45;1;CDU;Christlich;Demokratische;Union;Deutschlands;Thiele,;Gunter"
320;"45;2;DIE;LINKE;DIE;LINKE;Schollbach,;André"
321;"45;3;SPD;Sozialdemokratische;Partei;Deutschlands;Friedel,;Sabine"
322;"45;4;AfD;Alternative;für;Deutschland;Keiler,;Dr.;Joachim"
323;"45;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Löser,;Thomas"
324;"45;7;FDP;Freie;Demokratische;Partei;Streller,;Lydia"
325;"45;11;Die;PARTEI;Partei;für;Arbeit,;Brock,;Charlotte"
326;"45;12;BüSo;Bürgerrechtsbewegung;Solidarität;Gründler,;Michael"
327;"46;1;CDU;Christlich;Demokratische;Union;Deutschlands;Rohwer,;Lars"
328;"46;2;DIE;LINKE;DIE;LINKE;Kunkel,;Jenny"
329;"46;3;SPD;Sozialdemokratische;Partei;Deutschlands;Koch,;Sophie"
