;AGS;Wahlberechtigte_EW2019;Wähler_EW2019;gültige_EW2019;CDU_EW2019;DIE LINKE_EW2019;SPD_EW2019;AfD_EW2019;GRÜNE_EW2019;FDP_EW2019;FREIE WÄHLER_EW2019;Wahlberechtigte_BW2017;Wähler_BW2017;gültige_2_BW2017;CDU_2_BW2017;DIE LINKE_2_BW2017;SPD_2_BW2017;AfD_2_BW2017;GRÜNE_2_BW2017;FDP_2_BW2017;FREIE WÄHLER_2_BW2017;WK-Nr_LW2014;WK-Name_LW2014;Wahlberechtigte_LW2014;Wähler_LW2014;gültige_1_LW2014;CDU_1_LW2014;DIE LINKE_1_LW2014;SPD_1_LW2014;FDP_1_LW2014;GRÜNE_1_LW2014;NPD_1_LW2014;PIRATEN_1_LW2014;BüSo_1_LW2014;DSU_1_LW2014;AfD_1_LW2014;FREIE WÄHLER_1_LW2014;Die PARTEI_1_LW2014;Freie Bürger Leipzig_1_LW2014;Konrad Skatula_1_LW2014;Schaar_1_LW2014;WAGNER_1_LW2014;WV MFU_1_LW2014;gültige_2_LW2014;CDU_2_LW2014;DIE LINKE_2_LW2014;SPD_2_LW2014;FDP_2_LW2014;GRÜNE_2_LW2014;NPD_2_LW2014;Tierschutzpartei_2_LW2014;PIRATEN_2_LW2014;BüSo_2_LW2014;DSU_2_LW2014;AfD_2_LW2014;pro Deutschland_2_LW2014;FREIE WÄHLER_2_LW2014;Die PARTEI_2_LW2014
270;14626370;8072;4957;4831;1220;603;375;1473;272;191;124;8125;6079;5993;1677;933;620;1808;162;400;86;57;Görlitz 1;8181;3916;3840;1411;1123;322;123;94;203;27;0;0;449;88;0;0;0;0;0;0;3858;1456;844;425;158;98;225;36;25;5;4;487;12;74;9
271;14626390;4336;2732;2652;711;254;172;824;129;100;117;4436;3670;3627;1007;501;315;1102;105;313;94;60;Görlitz 4;4570;2522;2480;1153;353;173;68;98;109;19;0;0;304;203;0;0;0;0;0;0;2484;1034;379;243;88;101;136;25;16;0;4;360;2;91;5
272;14626400;3998;3001;2924;703;388;215;723;170;157;108;4149;3721;3678;993;621;394;979;118;306;85;60;Görlitz 4;4428;2584;2531;954;532;248;91;110;82;19;0;0;398;97;0;0;0;0;0;0;2541;899;527;289;130;96;94;42;24;4;6;344;10;73;3
273;14626410;1975;1093;1048;237;77;42;447;46;35;40;1999;1292;1279;276;123;80;588;39;77;30;59;Görlitz 3;2109;971;949;426;129;59;39;45;82;4;0;0;165;0;0;0;0;0;0;0;955;406;120;63;31;25;88;6;1;0;0;156;3;52;4
274;14626420;1888;1303;1267;417;95;69;351;91;59;25;1949;1277;1258;426;141;103;362;39;102;20;59;Görlitz 3;2092;927;897;405;139;83;60;46;29;10;0;0;125;0;0;0;0;0;0;0;907;397;129;90;69;43;26;9;5;3;1;108;2;16;9
275;14626430;1184;668;652;166;61;44;176;49;28;18;1206;712;701;203;116;62;201;15;54;12;60;Görlitz 4;1244;544;534;252;90;45;26;18;22;2;0;0;62;17;0;0;0;0;0;0;536;220;99;54;32;18;29;8;1;2;0;59;2;11;1
276;14626440;1053;639;628;146;62;45;227;21;19;16;1086;727;715;176;103;55;270;11;56;5;57;Görlitz 1;1102;527;513;208;130;43;9;11;28;3;0;0;64;17;0;0;0;0;0;0;515;204;105;54;12;12;28;5;3;1;0;75;1;15;0
277;14626450;4105;2966;2896;722;289;180;963;186;102;72;4136;3342;3299;875;459;282;1081;88;243;55;58;Görlitz 2;4197;2154;2096;725;417;177;132;125;134;25;0;0;361;0;0;0;0;0;0;0;2105;798;376;198;96;90;126;26;11;4;2;309;2;55;12
278;14626460;2173;1110;1069;267;97;76;331;68;37;49;2205;1315;1259;349;150;137;410;29;78;37;57;Görlitz 1;2230;911;886;457;124;67;22;17;50;6;0;0;91;52;0;0;0;0;0;0;886;405;115;81;25;22;60;11;5;1;1;102;1;51;6
279;14626470;1252;771;757;198;48;33;283;47;31;22;1268;847;831;262;68;62;315;17;49;11;59;Görlitz 3;1317;601;588;277;77;49;39;21;47;3;0;0;75;0;0;0;0;0;0;0;592;271;69;47;24;19;51;3;3;1;0;71;0;29;4
