field_1;Wahlbezirk;Wahlkreis;Wahlberechtigte;Wähler;gültige_1;CDU_1;DIE LINKE_1;SPD_1;AfD_1;GRÜNE_1;FDP_1;Die PARTEI_1;BüSo_1;gültige_2;CDU_2;DIE LINKE_2;SPD_2;AfD_2;GRÜNE_2;NPD_2;FDP_2;FREIE WÄHLER_2;Tierschutzpartei_2;PIRATEN_2 Deutschland;Die PARTEI_2;BüSo_2;ADPM_2;Blaue #TeamPetry_2;KPD_2;ÖDP_2;Die Humanisten_2;PDV_2;Gesundheitsforschung_2
"173";"54200";"44.0";"1267";"608";"602";"164";"82";"52";"96";"166";"30";;"12.0";"606";"162";"65";"46";"86";"146";"4";"36";"22";"5";"5";"16";"1";"4";"1";"0";"3";"3";"0";"1"
"174";"54300";"44.0";"1354";"546";"537";"161";"84";"62";"124";"67";"35";;"4.0";"539";"162";"65";"59";"116";"61";"1";"37";"9";"3";"4";"10";"0";"0";"0";"1";"0";"3";"2";"6"
"175";"54400";"44.0";"1476";"571";"559";"182";"60";"58";"137";"76";"39";;"7.0";"562";"183";"51";"37";"129";"74";"2";"43";"19";"6";"7";"8";"0";"0";"1";"0";"1";"1";"0";"0"
"176";"54501";"44.0";"1477";"670";"663";"229";"71";"73";"145";"91";"51";;"3.0";"667";"223";"65";"52";"144";"83";"2";"44";"20";"5";"3";"10";"0";"0";"0";"2";"6";"3";"0";"5"
"177";"54502";"44.0";"1581";"711";"704";"231";"71";"64";"162";"130";"40";;"6.0";"705";"207";"56";"77";"159";"107";"0";"44";"20";"4";"6";"6";"1";"0";"4";"0";"4";"4";"1";"5"
"178";"54600";"44.0";"1608";"665";"652";"174";"98";"68";"164";"110";"29";;"9.0";"657";"164";"87";"59";"156";"94";"1";"34";"12";"10";"9";"17";"1";"0";"2";"0";"2";"5";"0";"4"
"179";"55101";"44.0";"1180";"601";"589";"181";"64";"44";"170";"91";"35";;"4.0";"597";"173";"55";"35";"160";"83";"6";"45";"11";"5";"4";"11";"0";"0";"2";"0";"2";"1";"1";"3"
"180";"55102";"44.0";"1094";"542";"540";"144";"74";"49";"160";"87";"23";;"3.0";"541";"129";"60";"47";"146";"83";"3";"29";"12";"10";"2";"13";"0";"2";"0";"0";"2";"3";"0";"0"
"181";"55200";"44.0";"1030";"451";"444";"125";"50";"49";"149";"50";"14";;"7.0";"447";"124";"44";"42";"136";"37";"3";"18";"16";"9";"1";"9";"0";"3";"1";"0";"2";"1";"0";"1"
"182";"55300";"44.0";"1561";"727";"707";"241";"76";"51";"232";"50";"52";;"5.0";"711";"234";"65";"52";"209";"38";"4";"53";"37";"9";"0";"4";"1";"0";"1";"0";"1";"1";"0";"2"
